2020/9/1 星期二 8:48:56	正在初始化...已完成

2020/9/1 星期二 8:48:57	链接12306服务器速度:149毫秒[优]

2020/9/1 星期二 8:48:57	您的VIP已过期,已恢复为免费用户,续期请重新注册

2020/9/1 星期二 8:48:57	获取到:747个CDN,开始智能测速中...

2020/9/1 星期二 8:49:20	查询完毕,本次查询共用时:405毫秒

2020/9/1 星期二 8:49:32	查询完毕,本次查询共用时:26毫秒

2020/9/1 星期二 8:49:48	查询完毕,本次查询共用时:12毫秒

2020/9/1 星期二 8:50:44	开始查询2020-09-30车次，间隔：默认

2020/9/1 星期二 8:52:57	链接12306服务器速度:73毫秒[优]

2020/9/1 星期二 9:00:00	开始预订G74车次的车票...

2020/9/1 星期二 9:00:00	[普通]线程启动完成,开始解析算法...

2020/9/1 星期二 9:00:00	[任务1]算法解析完成,开始申请订单...

2020/9/1 星期二 9:00:00	[任务2]申请订单成功,开始获取令牌...

2020/9/1 星期二 9:00:00	[任务2]当前需要滑块验证码，正在执行...

2020/9/1 星期二 9:00:00	[微信通知]发送成功！

2020/9/1 星期二 9:00:22	[任务2]滑块验证码效验完成，提交订单...

2020/9/1 星期二 9:00:22	[任务3]令牌获取完成,开始效验订单...

2020/9/1 星期二 9:00:23	[任务4]实时余票为(137)张,继续提交...

2020/9/1 星期二 9:00:23	[提交成功]等待处理,本次用时:23.52秒

2020/9/1 星期二 9:00:23	开始查询2020-09-30车次，间隔：默认

2020/9/1 星期二 9:00:24	开始预订G74车次的车票...

2020/9/1 星期二 9:00:24	[普通]线程启动完成,开始解析算法...

2020/9/1 星期二 9:00:24	[任务1]算法解析完成,开始申请订单...

2020/9/1 星期二 9:00:25	开始查询2020-09-30车次，间隔：默认

2020/9/1 星期二 9:00:25	开始预订G74车次的车票...

2020/9/1 星期二 9:00:25	[普通]线程启动完成,开始解析算法...

2020/9/1 星期二 9:00:25	[任务1]算法解析完成,开始申请订单...

