2020/9/3 星期四 2:33:14	获取到:1157个CDN,开始智能测速中...

2020/9/3 星期四 8:56:01	查询完毕,本次查询共用时:196毫秒

2020/9/3 星期四 8:56:12	查询完毕,本次查询共用时:183毫秒

2020/9/3 星期四 8:56:43	开始查询2020-10-02车次，间隔：默认

2020/9/3 星期四 9:00:01	开始预订G74车次的车票...

2020/9/3 星期四 9:00:01	[普通]线程启动完成,开始解析算法...

2020/9/3 星期四 9:00:01	[任务1]算法解析完成,开始申请订单...

2020/9/3 星期四 9:00:01	[任务2]申请订单成功,开始获取令牌...

2020/9/3 星期四 9:00:01	[任务3]令牌获取完成,开始效验订单...

2020/9/3 星期四 9:00:02	[任务4]实时余票为(21)张,继续提交...

2020/9/3 星期四 9:00:02	[任务5]快速出票安全期,等待2104ms

2020/9/3 星期四 9:00:04	[提交成功]等待处理,本次用时:3.27秒

2020/9/3 星期四 9:00:06	[12306]服务器处理中，正在排队，请耐心等待...

2020/9/3 星期四 9:00:08	[12306]服务器处理中，正在排队，请耐心等待...

2020/9/3 星期四 9:00:11	[12306]服务器处理中，正在排队，请耐心等待...

2020/9/3 星期四 9:00:13	[12306]服务器处理中，正在排队，请耐心等待...

2020/9/3 星期四 9:00:16	[12306]服务器处理中，正在排队，请耐心等待...

2020/9/3 星期四 9:00:19	[获取结果]12306:很抱歉！当前提交订单用户过多，请您稍候重试。

2020/9/3 星期四 9:00:19	[小黑屋]该数据为缓存,将G74车次(O)放入小黑屋120秒...

2020/9/3 星期四 9:00:19	开始查询2020-10-02车次，间隔：默认

2020/9/3 星期四 9:00:19	开始预订G1004车次的车票...

2020/9/3 星期四 9:00:19	[普通]线程启动完成,开始解析算法...

2020/9/3 星期四 9:00:19	[任务1]算法解析完成,开始申请订单...

2020/9/3 星期四 9:00:19	[任务2]申请订单成功,开始获取令牌...

2020/9/3 星期四 9:00:19	[任务2]当前需要滑块验证码，正在执行...

2020/9/3 星期四 9:00:19	[微信通知]发送成功！

2020/9/3 星期四 9:00:25	[任务2]滑块验证码效验完成，提交订单...

2020/9/3 星期四 9:00:25	[任务3]令牌获取完成,开始效验订单...

2020/9/3 星期四 9:00:25	[任务4]实时余票为(15)张,继续提交...

2020/9/3 星期四 9:00:25	[提交成功]等待处理,本次用时:6.57秒

2020/9/3 星期四 9:00:27	[12306]服务器处理中，正在排队，请耐心等待...

2020/9/3 星期四 9:00:44	[12306]服务器处理中，正在排队，请耐心等待...

2020/9/3 星期四 9:01:00	[获取结果]12306:没有足够的票! 

2020/9/3 星期四 9:01:00	[小黑屋]该数据为缓存,将G1004车次(O)放入小黑屋120秒...

2020/9/3 星期四 9:01:00	开始查询2020-10-02车次，间隔：默认

2020/9/3 星期四 9:03:34	结束车票查询

2020/9/3 星期四 15:07:25	查询完毕,本次查询共用时:34毫秒

2020/9/3 星期四 15:07:25	查询完毕,本次查询共用时:37毫秒

2020/9/3 星期四 15:07:26	查询完毕,本次查询共用时:332毫秒

2020/9/3 星期四 15:07:34	查询完毕,本次查询共用时:11232毫秒

2020/9/3 星期四 23:52:34	链接12306服务器速度:6277毫秒[差]

