2020/9/15 星期二 1:23:33	获取到:1263个CDN,开始智能测速中...

2020/9/15 星期二 6:52:00	链接12306服务器速度:123毫秒[优]

2020/9/15 星期二 6:53:00	链接12306服务器速度:150毫秒[优]

2020/9/15 星期二 7:20:00	链接12306服务器速度:58毫秒[优]

2020/9/15 星期二 7:21:02	链接12306服务器速度:455毫秒[良]

2020/9/15 星期二 7:36:01	链接12306服务器速度:78毫秒[优]

2020/9/15 星期二 7:54:01	链接12306服务器速度:156毫秒[优]

2020/9/15 星期二 8:15:01	链接12306服务器速度:91毫秒[优]

2020/9/15 星期二 9:01:01	链接12306服务器速度:90毫秒[优]

2020/9/15 星期二 9:06:01	链接12306服务器速度:79毫秒[优]

2020/9/15 星期二 9:11:01	链接12306服务器速度:191毫秒[优]

2020/9/15 星期二 9:12:01	链接12306服务器速度:167毫秒[优]

2020/9/15 星期二 15:40:04	链接12306服务器速度:170毫秒[优]

2020/9/15 星期二 18:04:13	链接12306服务器速度:138毫秒[优]

2020/9/15 星期二 18:13:03	链接12306服务器速度:200毫秒[优]

2020/9/15 星期二 18:20:03	链接12306服务器速度:106毫秒[优]

2020/9/15 星期二 21:27:14	链接12306服务器速度:337毫秒[良]

2020/9/15 星期二 22:00:04	链接12306服务器速度:364毫秒[良]

2020/9/15 星期二 22:10:05	链接12306服务器速度:171毫秒[优]

2020/9/15 星期二 22:22:14	链接12306服务器速度:136毫秒[优]

