2020/9/16 星期三 0:14:39	获取到:1262个CDN,开始智能测速中...

2020/9/16 星期三 0:39:05	链接12306服务器速度:101毫秒[优]

2020/9/16 星期三 9:34:15	链接12306服务器速度:206毫秒[优]

2020/9/16 星期三 9:41:06	链接12306服务器速度:156毫秒[优]

2020/9/16 星期三 9:43:05	链接12306服务器速度:81毫秒[优]

2020/9/16 星期三 14:34:07	链接12306服务器速度:200毫秒[优]

2020/9/16 星期三 14:35:06	链接12306服务器速度:79毫秒[优]

2020/9/16 星期三 21:17:19	链接12306服务器速度:900毫秒[差]

2020/9/16 星期三 22:06:20	链接12306服务器速度:2310毫秒[差]

2020/9/16 星期三 22:09:09	链接12306服务器速度:288毫秒[优]

2020/9/16 星期三 22:32:18	链接12306服务器速度:119毫秒[优]

2020/9/16 星期三 22:35:13	链接12306服务器速度:159毫秒[优]

2020/9/16 星期三 22:36:08	链接12306服务器速度:87毫秒[优]

2020/9/16 星期三 23:22:19	链接12306服务器速度:205毫秒[优]

2020/9/16 星期三 23:23:11	链接12306服务器速度:108毫秒[优]

