2020/9/20 星期日 4:13:09	获取到:1269个CDN,开始智能测速中...

2020/9/20 星期日 14:26:03	检测到网络不稳定，请检查网络！

2020/9/20 星期日 14:26:04	检测到网络不稳定，请检查网络！

2020/9/20 星期日 14:26:05	检测到网络不稳定，请检查网络！

2020/9/20 星期日 14:26:06	检测到网络不稳定，请检查网络！

2020/9/20 星期日 14:26:07	检测到网络不稳定，请检查网络！

2020/9/20 星期日 14:26:08	检测到网络不稳定，请检查网络！

2020/9/20 星期日 14:26:09	检测到网络不稳定，请检查网络！

2020/9/20 星期日 14:26:10	检测到网络不稳定，请检查网络！

2020/9/20 星期日 14:26:11	检测到网络不稳定，请检查网络！

2020/9/20 星期日 14:26:12	检测到网络不稳定，请检查网络！

2020/9/20 星期日 14:26:13	检测到网络不稳定，请检查网络！

2020/9/20 星期日 14:26:14	检测到网络不稳定，请检查网络！

2020/9/20 星期日 14:26:15	检测到网络不稳定，请检查网络！

2020/9/20 星期日 14:26:16	检测到网络不稳定，请检查网络！

2020/9/20 星期日 14:26:17	检测到网络不稳定，请检查网络！

2020/9/20 星期日 14:26:18	检测到网络不稳定，请检查网络！

2020/9/20 星期日 14:26:19	检测到网络不稳定，请检查网络！

2020/9/20 星期日 14:26:20	检测到网络不稳定，请检查网络！

2020/9/20 星期日 14:26:21	检测到网络不稳定，请检查网络！

2020/9/20 星期日 14:26:22	检测到网络不稳定，请检查网络！

2020/9/20 星期日 14:26:23	检测到网络不稳定，请检查网络！

2020/9/20 星期日 14:26:24	检测到网络不稳定，请检查网络！

2020/9/20 星期日 14:26:25	检测到网络不稳定，请检查网络！

2020/9/20 星期日 14:26:26	检测到网络不稳定，请检查网络！

2020/9/20 星期日 14:26:27	检测到网络不稳定，请检查网络！

2020/9/20 星期日 14:26:28	检测到网络不稳定，请检查网络！

2020/9/20 星期日 14:26:29	检测到网络不稳定，请检查网络！

2020/9/20 星期日 14:26:30	检测到网络不稳定，请检查网络！

2020/9/20 星期日 14:26:31	检测到网络不稳定，请检查网络！

2020/9/20 星期日 14:26:32	检测到网络不稳定，请检查网络！

2020/9/20 星期日 14:26:33	检测到网络不稳定，请检查网络！

